k,Precision,Recall,NDCG
1,0.3854942871336314,0.00555881321728338,0.3681682676382908
5,0.23046862063256243,0.015374032405947632,0.24580579211275175
10,0.23439311144229136,0.030058015411925904,0.24139711807928257
15,0.24136446431529052,0.046213463271420396,0.23807355392520557
20,0.2048186785891683,0.0522261139970003,0.21603465130718003
25,0.1970524921344584,0.06134319090542121,0.20832071152598008
40,0.17813793674449271,0.08692589096704155,0.19774717737222175
50,0.18122205663188984,0.11153898682045625,0.20332787506995473
