k,Precision,Recall,NDCG
1,0.29143897996357016,0.003381306658310122,0.2769128850612786
5,0.3314124855108517,0.021723138972286653,0.30007008125679246
10,0.2720317933432663,0.035903003428137764,0.26854031254906635
15,0.2642380085003097,0.05241176229823884,0.26160336140761764
20,0.2576833912899458,0.06668932105155793,0.25761252031781257
25,0.2654148037754545,0.08622596700864694,0.25967634944066353
40,0.2338549428713355,0.11648253094326888,0.24397145713308346
50,0.21390627587348537,0.12882045002033965,0.23382832558010194
